date,capture,veta,neta
2020-10-23,0.01,0.01,0.01
2020-10-24,0.01,0.01,0.01
2020-10-25,0.01,0.01,0.01
2020-10-26,0.01,0.01,0.01
2020-10-27,0.01,0.01,0.01
2020-10-28,0.01,0.01,0.01
2020-10-29,0.01,0.01,0.01
2020-10-30,0.01,0.01,0.01
2020-10-31,0.01,0.01,0.01
2020-11-01,0.01,0.01,0.01
2020-11-02,0.01,0.01,0.01
2020-11-03,0.01,0.01,0.01
2020-11-04,0.01,0.01,0.01
2020-11-05,0.01,0.01,0.01
2020-11-06,0.01,0.01,0.01
2020-11-07,0.01,0.01,0.01
2020-11-08,0.01,0.01,0.01
2020-11-09,0.01,0.01,0.01
2020-11-10,0.01,0.01,0.01
2020-11-11,0.01,0.01,0.01
2020-11-12,0.01,0.01,0.01
2020-11-13,0.01,0.01,0.01
2020-11-14,0.01,0.01,0.01
2020-11-15,0.01,0.01,0.01
2020-11-16,0.01,0.01,0.01
2020-11-17,0.01,0.01,0.01
2020-11-18,0.01,0.01,0.01
2020-11-19,0.01,0.01,0.01
2020-11-20,0.01,0.01,0.01
2020-11-21,0.01,0.01,0.01
2020-11-22,0.01,0.01,0.01
2020-11-23,0.01,0.01,0.01
2020-11-24,0.01,0.01,0.01
2020-11-25,0.01,0.01,0.01
2020-11-26,0.01,0.01,0.01
2020-11-27,0.01,0.01,0.01
2020-11-28,0.01,0.01,0.01
2020-11-29,0.01,0.01,0.01
2020-11-30,0.01,0.01,0.01
2020-12-01,0.01,0.01,0.01
2020-12-02,0.01,0.01,0.01
2020-12-03,0.01,0.01,0.01
2020-12-04,0.01,0.01,0.01
2020-12-05,0.01,0.01,0.01
2020-12-06,0.01,0.01,0.01
2020-12-07,0.01,0.01,0.01
2020-12-08,0.01,0.01,0.01
2020-12-09,0.01,0.01,0.01
2020-12-10,0.01,0.01,0.01
2020-12-11,0.01,0.01,0.01
2020-12-12,0.01,0.01,0.01
2020-12-13,0.01,0.01,0.01
2020-12-14,0.01,0.01,0.01
2020-12-15,0.01,0.01,0.01
2020-12-16,0.01,0.01,0.01
2020-12-17,0.01,0.01,0.01
2020-12-18,0.01,0.01,0.01
2020-12-19,0.01,0.01,0.01
2020-12-20,0.01,0.01,0.01
2020-12-21,0.01,0.01,0.01
2020-12-22,0.01,0.01,0.01
2020-12-23,0.01,0.01,0.017
2020-12-24,0.01,0.01,0.01
2020-12-25,0.01,0.01,0.01
2020-12-26,0.01,0.01,0.01
2020-12-27,0.01,0.01,0.01
2020-12-28,0.01,0.01,0.01
2020-12-29,0.01,0.01,0.01
2020-12-30,0.01,0.01,0.01
2020-12-31,0.01,0.01,0.01
2021-01-01,0.01,0.01,0.01
2021-01-02,0.01,0.01,0.01
2021-01-03,0.01,0.01,0.01
2021-01-04,0.01,0.01,0.01
2021-01-05,0.01,0.01,0.01
2021-01-06,0.01,0.01,0.01
2021-01-07,0.01,0.01,0.01
2021-01-08,0.01,0.01,0.01
2021-01-09,0.013,0.01,0.01
2021-01-10,0.01,0.01,0.01
2021-01-11,0.062,0.023,0.01
2021-01-12,0.01,0.01,0.01
2021-01-13,0.014,0.01,0.01
2021-01-14,0.013,0.01,0.01
2021-01-15,0.01,0.01,0.01
2021-01-16,0.01,0.01,0.01
2021-01-17,0.01,0.01,0.01
2021-01-18,0.032,0.011,0.01
2021-01-19,0.01,0.01,0.01
2021-01-20,0.061,0.015,0.01
2021-01-21,0.07,0.01,0.01
2021-01-22,0.01,0.01,0.01
2021-01-23,0.022,0.01,0.01
2021-01-24,0.024,0.01,0.01
2021-01-25,0.318,0.023,0.01
2021-01-26,0.165,0.033,0.01
2021-01-27,0.259,0.037,0.01
2021-01-28,0.128,0.021,0.01
2021-01-29,0.088,0.033,0.01
2021-01-30,0.26,0.087,0.015
2021-01-31,0.131,0.061,0.017
2021-02-01,0.118,0.01,0.01
2021-02-02,0.121,0.039,0.01
2021-02-03,0.025,0.027,0.01
2021-02-04,0.051,0.015,0.01
2021-02-05,0.02,0.01,0.01
2021-02-06,0.061,0.021,0.01
2021-02-07,0.01,0.01,0.01
2021-02-08,0.01,0.01,0.01
2021-02-09,0.01,0.01,0.01
2021-02-10,0.01,0.01,0.01
2021-02-11,0.01,0.01,0.01
2021-02-12,0.01,0.01,0.01
2021-02-13,0.01,0.01,0.01
2021-02-14,0.01,0.01,0.01
2021-02-15,0.01,0.01,0.01
2021-02-16,0.01,0.01,0.01
2021-02-17,0.01,0.01,0.01
2021-02-18,0.01,0.01,0.01
2021-02-19,0.01,0.01,0.01
2021-02-20,0.01,0.01,0.01
2021-02-21,0.01,0.01,0.01
2021-02-22,0.01,0.01,0.01
2021-02-23,0.01,0.01,0.01
2021-02-24,0.01,0.01,0.01
2021-02-25,0.01,0.01,0.01
2021-02-26,0.01,0.01,0.01
2021-02-27,0.016,0.01,0.01
2021-02-28,0.02,0.01,0.01
2021-03-01,0.01,0.01,0.01
2021-03-02,0.024,0.01,0.01
2021-03-03,0.017,0.01,0.01
2021-03-04,0.02,0.01,0.01
2021-03-05,0.013,0.01,0.01
2021-03-06,0.01,0.01,0.01
2021-03-07,0.019,0.01,0.01
2021-03-08,0.017,0.01,0.01
2021-03-09,0.031,0.012,0.01
2021-03-10,0.032,0.018,0.01
2021-03-11,0.04,0.01,0.01
2021-03-12,0.021,0.01,0.01
2021-03-13,0.036,0.01,0.01
2021-03-14,0.015,0.01,0.01
2021-03-15,0.029,0.018,0.01
2021-03-16,0.101,0.03,0.01
2021-03-17,0.189,0.014,0.011
2021-03-18,0.509,0.198,0.035
2021-03-19,0.01,0.027,0.01
2021-03-20,0.378,0.026,0.01
2021-03-21,0.319,0.09,0.016
2021-03-22,0.305,0.061,0.01
2021-03-23,0.515,0.183,0.025
2021-03-24,0.173,0.034,0.01
2021-03-25,0.646,0.114,0.029
2021-03-26,0.173,0.053,0.01
2021-03-27,0.107,0.069,0.01
2021-03-28,0.077,0.092,0.02
2021-03-29,0.521,0.17,0.045
2021-03-30,0.495,0.109,0.018
2021-03-31,0.732,0.261,0.049
2021-04-01,0.726,0.194,0.052
2021-04-02,1.551,0.088,0.066
2021-04-03,1.166,0.516,0.08
2021-04-04,1.905,0.493,0.088
2021-04-05,0.537,0.308,0.075
2021-04-06,0.641,0.152,0.033
2021-04-07,0.151,0.058,0.01
2021-04-08,0.07,0.056,0.01
2021-04-09,0.111,0.056,0.01
2021-04-10,0.102,0.022,0.01
2021-04-11,0.069,0.027,0.01
2021-04-12,0.02,0.01,0.01
2021-04-13,0.049,0.03,0.005
2021-04-14,0.02,0.017,0.005
2021-04-15,0.064,0.02,0.008
2021-04-16,0.028,0.006,0.005
2021-04-17,0.02,0.014,0.005
2021-04-18,0.02,0.022,0.016
2021-04-19,0.02,0.01,0.007
2021-04-20,0.02,0.014,0.012
2021-04-21,0.02,0.008,0.005
2021-04-22,0.02,0.005,0.009
2021-04-23,0.02,0.005,0.005
2021-04-24,0.02,0.005,0.005
2021-04-25,0.02,0.005,0.005
2021-04-26,0.02,0.005,0.005
2021-04-27,0.02,0.005,0.005
2021-04-28,0.02,0.005,0.005
2021-04-29,0.02,0.005,0.005
2021-04-30,0.02,0.005,0.005
2021-05-01,0.02,0.005,0.005
2021-05-02,0.02,0.005,0.005
2021-05-03,0.02,0.005,0.005
2021-05-04,0.02,0.005,0.005
2021-05-07,0.02,0.005,0.005
