date,neta_taste,neta_odor,veta_taste,veta_odor,is_neta_taste_ub,is_neta_odor_ub,is_veta_taste_ub,is_veta_odor_ub
2020-01-29,17,3,67,4,False,False,False,False
2020-01-30,17,2,50,4,False,False,False,False
2020-01-31,12,2,25,2,False,False,False,False
2020-02-01,6,2,8,2,False,False,False,False
2020-02-03,4,2,8,2,False,False,False,False
2020-02-04,4,2,6,2,False,False,False,False
2020-02-05,2,1,5,2,False,False,False,False
2020-02-06,2,2,2,2,False,False,False,False
2020-02-07,2,1,2,2,False,False,False,False
2020-02-08,1,2,2,2,False,False,False,False
2020-02-09,1,2,2,2,False,False,False,False
2020-02-10,1,2,2,2,False,False,False,False
2020-02-11,2,2,2,2,False,False,False,False
2020-02-12,1,2,2,2,False,False,False,False
2020-02-13,2,2,3,2,False,False,False,False
2020-02-14,2,2,2,2,False,False,False,False
2020-02-15,2,2,2,2,False,False,False,False
2020-02-16,2,2,2,2,False,False,False,False
2020-02-17,2,2,2,2,False,False,False,False
2020-02-18,1,2,2,2,False,False,False,False
2020-02-19,1,2,2,2,False,False,False,False
2020-02-21,1,2,2,2,False,False,False,False
2020-02-22,1,1,2,2,False,False,False,False
2020-02-23,2,1,2,2,False,False,False,False
2020-02-24,1,1,2,2,False,False,False,False
2020-02-27,2,1,2,2,False,False,False,False
2020-03-01,2,2,2,2,False,False,False,False
2020-03-02,2,2,2,3,False,False,False,False
2020-03-03,2,2,2,2,False,False,False,False
2020-03-04,2,2,2,2,False,False,False,False
2020-03-05,2,2,2,3,False,False,False,False
2020-03-06,2,2,2,2,False,False,False,False
2020-03-07,2,2,2,2,False,False,False,False
2020-03-08,2,2,2,2,False,False,False,False
2020-03-09,2,2,2,2,False,False,False,False
2020-03-10,2,2,2,2,False,False,False,False
2020-03-11,2,2,2,2,False,False,False,False
2020-03-12,2,2,2,2,False,False,False,False
2020-03-13,2,2,2,2,False,False,False,False
2020-03-14,2,2,2,2,False,False,False,False
2020-03-15,2,2,2,2,False,False,False,False
2020-03-16,2,2,2,2,False,False,False,False
2020-03-17,2,2,2,2,False,False,False,False
2020-03-18,2,2,2,2,False,False,False,False
2020-03-19,2,2,2,2,False,False,False,False
2020-03-30,2,2,2,2,False,False,False,False
2020-04-01,2,2,2,2,False,False,False,False
2020-04-02,2,2,2,2,False,False,False,False
2020-04-03,2,2,2,2,False,False,False,False
2020-04-17,1,1,1,1,True,True,True,True
2020-04-18,2,2,1,1,False,False,True,True
2020-04-19,1,1,1,1,True,True,True,True
2020-04-20,1,1,1,1,True,True,True,True
2020-04-21,1,1,2,2,True,True,False,False
2020-04-22,1,1,2,2,True,True,False,False
2020-04-24,1,1,2,2,True,True,False,False
2020-04-25,1,1,2,2,True,True,False,False
2020-04-26,1,1,1,1,True,True,True,True
2020-04-27,2,2,1,1,False,False,True,True
2020-04-28,1,1,1,1,True,True,True,True
2020-04-29,1,1,1,1,True,True,True,True
2020-04-30,1,1,1,1,True,True,True,True
2020-05-01,1,1,1,1,True,True,True,True
2020-05-02,1,1,1,1,True,True,True,True
2020-05-03,1,1,1,1,True,True,True,True
2020-05-04,1,1,1,1,True,True,True,True
2020-05-05,1,1,1,1,True,True,True,True
2020-05-06,1,1,1,1,True,True,True,True
2020-05-07,1,1,1,1,True,True,True,True
2020-05-08,1,1,1,1,True,True,True,True
2020-05-09,1,1,1,1,True,True,True,True
2020-05-10,1,1,1,1,True,True,True,True
2020-05-11,1,1,1,1,True,True,True,True
2020-05-12,1,1,1,1,True,True,True,True
2020-05-13,1,1,1,1,True,True,True,True
2020-05-14,1,1,1,1,True,True,True,True
2020-05-15,1,1,1,1,True,True,True,True
2020-05-16,1,1,1,1,True,True,True,True
2020-05-17,1,1,1,1,True,True,True,True
2020-05-18,1,1,1,1,True,True,True,True
2020-05-19,1,1,1,1,True,True,True,True
2020-05-20,1,1,1,1,True,True,True,True
2020-05-21,1,1,1,1,True,True,True,True
2020-05-22,1,1,1,1,True,True,True,True
2020-05-23,1,1,1,1,True,True,True,True
2020-05-24,1,1,1,1,True,True,True,True
2020-05-25,1,1,1,1,True,True,True,True
2020-05-26,1,1,1,1,True,True,True,True
2020-05-27,1,1,1,1,True,True,True,True
2020-05-28,1,1,1,1,True,True,True,True
2020-05-29,1,1,1,1,True,True,True,True
2020-05-30,1,1,1,1,True,True,True,True
2020-05-31,1,1,1,1,True,True,True,True
2020-06-01,1,1,1,1,True,True,True,True
2020-06-02,1,1,1,1,True,True,True,True
2020-06-03,1,1,1,1,True,True,True,True
2020-06-04,1,1,1,1,True,True,True,True
2020-06-05,1,1,1,1,True,True,True,True
2020-06-06,1,1,1,1,False,False,True,True
2020-06-07,1,1,1,1,True,True,True,True
2020-06-08,1,1,1,1,False,False,True,True
2020-06-09,1,1,1,1,False,False,False,False
2020-06-11,1,1,2,1,False,False,False,False
2020-06-12,1,1,2,1,False,False,False,False
2020-06-17,2,1,1,1,False,False,False,False
2020-06-18,2,1,1,1,False,False,False,False
2020-06-20,2,1,2,1,False,False,False,False
2020-06-21,1,1,2,1,False,False,False,False
2020-06-22,1,1,1,1,False,False,False,False
2020-06-23,1,1,2,1,False,False,False,False
2020-06-24,2,1,1,1,False,False,False,False
2020-06-25,1,1,1,2,False,False,False,False
2020-06-26,2,1,2,2,False,False,False,False
2020-06-27,2,1,2,2,False,False,False,False
2020-06-28,2,1,2,2,False,False,False,False
2020-06-29,2,1,2,2,False,False,False,False
2020-06-30,2,1,2,2,False,False,False,False
2020-07-01,2,1,2,2,False,False,False,False
2020-07-02,2,1,2,2,False,False,False,False
2020-07-03,2,1,2,2,False,False,False,False
2020-07-04,2,1,2,2,False,False,False,False
2020-07-05,2,1,2,2,False,False,False,False
2020-07-06,2,1,2,2,False,False,False,False
2020-07-07,2,1,2,2,False,False,False,False
2020-07-08,2,1,2,2,False,False,False,False
2020-07-09,1,1,1,1,False,False,False,False
2020-07-14,2,1,2,2,False,False,False,False
2020-07-16,2,1,2,2,False,False,False,False
2020-07-17,2,1,1,1,False,False,False,False
2020-07-18,1,1,2,1,False,False,False,False
2020-07-19,2,1,1,1,False,False,False,False
2020-07-20,1,1,1,1,False,False,False,False
2020-07-21,1,1,2,1,False,False,False,False
2020-07-22,2,1,2,1,False,False,False,False
2020-07-23,1,1,1,1,False,False,False,False
2020-07-24,1,1,1,1,False,False,False,False
2020-07-25,2,1,1,1,False,False,False,False
2020-07-26,1,1,2,1,False,False,False,False
2020-07-27,2,1,1,1,False,False,False,False
2020-07-28,2,1,1,1,False,False,False,False
2020-07-29,1,1,1,1,False,False,False,False
2020-07-30,1,1,1,1,False,False,False,False
2020-07-31,2,1,2,1,False,False,False,False
2020-08-01,1,1,2,1,False,False,False,False
2020-08-02,1,1,1,1,False,False,False,False
2020-08-03,2,1,1,1,False,False,False,False
2020-08-04,1,1,1,1,False,False,False,False
2020-08-05,2,1,2,1,False,False,False,False
2020-08-06,1,1,1,1,False,False,False,False
2020-08-07,1,1,1,1,False,False,False,False
2020-08-08,1,1,1,1,False,False,False,False
2020-08-09,2,1,1,1,False,False,False,False
2020-08-14,2,1,1,1,False,False,False,False
2020-08-16,2,1,1,1,False,False,False,False
2020-08-19,2,1,1,1,False,False,False,False
2020-08-20,1,1,1,1,False,False,False,False
2020-08-21,1,1,1,1,False,False,False,False
2020-08-22,2,1,2,1,False,False,False,False
2020-08-23,1,1,1,1,False,False,False,False
2020-08-24,2,1,1,1,False,False,False,False
2020-08-25,1,1,1,1,False,False,False,False
2020-08-26,1,1,1,1,False,False,False,False
2020-08-27,2,1,1,1,False,False,False,False
2020-08-28,1,1,1,1,False,False,False,False
2020-08-29,1,1,2,1,False,False,False,False
2020-08-30,1,1,1,1,False,False,False,False
2020-08-31,2,1,1,1,False,False,False,False
2020-09-01,1,1,1,1,False,False,False,False
2020-09-02,2,1,2,1,False,False,False,False
2020-09-03,1,1,1,1,False,False,False,False
2020-09-04,1,1,1,1,False,False,False,False
2020-09-05,1,1,1,1,False,False,False,False
2020-09-06,2,1,1,1,False,False,False,False
2020-09-07,1,1,1,1,False,False,False,False
2020-09-08,1,1,1,1,False,False,False,False
2020-09-09,1,1,1,1,False,False,False,False
2020-09-10,2,1,1,1,False,False,False,False
2020-09-13,1,1,2,1,False,False,False,False
2020-09-20,1,1,1,1,False,False,False,False
2020-09-21,1,1,1,1,False,False,False,False
2020-09-22,2,1,2,1,False,False,False,False
2020-09-23,1,1,1,1,False,False,False,False
2020-09-24,1,1,1,1,False,False,False,False
2020-09-25,1,1,1,1,False,False,False,False
2020-09-26,1,1,1,1,False,False,False,False
2020-09-27,1,1,1,1,False,False,False,False
2020-09-28,1,1,1,1,False,False,False,False
2020-09-29,1,1,1,1,False,False,False,False
2020-09-30,1,1,1,1,False,False,False,False
2020-10-01,2,1,2,1,False,False,False,False
2020-10-02,1,1,1,1,False,False,False,False
2020-10-03,2,1,2,1,False,False,False,False
2020-10-04,1,1,2,1,False,False,False,False
2020-10-05,1,1,1,1,False,False,False,False
2020-10-06,1,2,1,2,False,False,False,False
2020-10-07,1,2,1,2,False,False,False,False
2020-10-08,1,1,1,1,False,False,False,False
2020-10-09,1,1,1,1,False,False,False,False
2020-10-10,1,2,1,1,False,False,False,False
2020-10-20,1,1,1,1,False,False,False,False
2020-10-21,1,1,1,1,False,False,False,False
2020-10-22,1,1,1,1,False,False,False,False
2020-10-23,1,1,1,1,False,False,False,False
2020-10-24,1,1,1,1,False,False,False,False
2020-10-25,1,1,1,1,False,False,False,False
2020-10-26,1,1,1,1,False,False,False,False
2020-10-27,1,1,1,1,False,False,False,False
2020-10-28,1,1,1,1,False,False,False,False
2020-10-29,1,1,1,1,False,False,False,False
2020-10-30,1,1,1,1,False,False,False,False
2020-10-31,1,1,1,1,False,False,False,False
2020-11-01,1,1,1,1,False,False,False,False
2020-11-02,1,1,1,1,False,False,False,False
2020-11-03,1,1,1,1,False,False,False,False
2020-11-04,1,1,1,1,False,False,False,False
2020-11-05,1,1,1,1,False,False,False,False
2020-11-06,1,1,1,1,False,False,False,False
2020-11-07,1,1,1,1,False,False,False,False
2020-11-08,1,1,1,1,False,False,False,False
2020-11-09,1,1,1,1,False,False,False,False
2020-11-20,1,1,1,1,False,False,False,False
2020-11-21,1,1,1,1,False,False,False,False
2020-11-22,1,1,1,1,False,False,False,False
2020-11-23,1,1,1,1,False,False,False,False
2020-11-24,1,1,1,1,False,False,False,False
2020-11-25,1,1,1,1,False,False,False,False
2020-11-26,1,1,1,1,False,False,False,False
2020-11-27,1,1,1,1,False,False,False,False
2020-11-28,1,1,1,1,False,False,False,False
2020-11-29,1,1,1,1,False,False,False,False
2020-11-30,1,1,1,1,False,False,False,False
2020-12-01,1,1,1,1,False,False,False,False
2020-12-02,1,1,1,1,False,False,False,False
2020-12-03,1,1,1,1,False,False,False,False
2020-12-04,1,1,1,1,False,False,False,False
2020-12-05,1,1,1,1,False,False,False,False
2020-12-06,1,1,1,1,False,False,False,False
2020-12-07,1,1,1,1,False,False,False,False
2020-12-08,1,1,1,1,False,False,False,False
2020-12-09,1,1,1,1,False,False,False,False
