,colour,turbity,pH,free_chlorine,total_coliforms_icnt,thermo_coliforms_icnt,total_coliforms_pct
2008-01-31,1.8,1.3,6.5,1.7,8,4,98.94470704627899
2008-02-29,3.9,1.5,6.4,1.6,12,4,98.4170605694185
2008-03-31,4.6,1.2,5.8,1.6,13,3,98.28514895020336
2008-04-30,3.5,1.2,6.3,1.9,10,6,98.68088380784874
2008-05-31,3.3,2.2,6.6,1.8,7,1,99.07661866549412
2008-06-30,3.2,1.3,6.7,1.8,10,2,98.68088380784874
2008-07-31,3.0,1.6,6.7,1.7,9,3,98.81279542706386
2008-08-31,2.2,1.1,6.7,1.5,60,2,92.08530284709245
2008-09-30,2.4,1.6,6.6,1.8,15,0,98.02132571177312
2008-10-31,4.0,1.4,6.4,1.7,15,1,98.02132571177312
2008-11-30,4.4,1.2,6.4,1.8,6,0,99.20853028470924
2008-12-31,6.6,2.2,6.4,1.8,4,2,99.4723535231395
