,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms,e_coli
1,1007.0,546,954,527,977.0,919.0,992.0
2,1033.0,535,962,512,1007.0,955.0,1028.0
3,1046.0,554,981,531,1031.0,966.0,1042.0
4,1042.0,687,945,652,1023.0,964.0,1035.0
5,1034.0,685,952,650,1018.0,984.0,1031.0
6,1030.0,682,976,664,1028.0,962.0,1027.0
7,1049.0,692,997,680,1048.0,993.0,1045.0
8,1047.0,690,981,667,1046.0,1004.0,1046.0
9,1050.0,691,1011,668,1049.0,1013.0,1048.0
10,1052.0,698,985,663,1048.0,984.0,1049.0
11,1039.0,685,960,656,1036.0,969.0,1033.0
12,855.0,578,782,560,848.0,812.0,851.0
