,chlorine_bacteriology_turbity_tests,colour_tests,turbity_cnt,colour_cnt,free_chlorine_cnt,total_coliforms_cnt,e_coli_cnt,turbity_pct,colour_pct,free_chlorine_pct,total_coliforms_pct,e_coli_pct
2014-01-31,1029.0,689,974,670,1011.0,965.0,1023.0,94.65500485908649,97.24238026124819,98.25072886297376,93.78036929057338,99.41690962099125
2014-02-28,995.0,681,949,667,982.0,952.0,995.0,95.37688442211055,97.94419970631424,98.69346733668341,95.678391959799,100.0
2014-03-31,1024.0,687,957,659,1007.0,931.0,1018.0,93.45703125,95.92430858806405,98.33984375,90.91796875,99.4140625
2014-04-30,1022.0,682,937,652,1017.0,939.0,1019.0,91.68297455968688,95.60117302052785,99.51076320939335,91.87866927592955,99.706457925636
2014-05-31,1033.0,684,931,646,1032.0,958.0,1030.0,90.12584704743466,94.44444444444444,99.90319457889642,92.73959341723136,99.70958373668925
2014-06-30,1034.0,690,959,651,1030.0,975.0,1031.0,92.74661508704062,94.34782608695652,99.61315280464217,94.29400386847195,99.70986460348162
2014-07-31,1022.0,683,903,638,1013.0,963.0,1021.0,88.35616438356165,93.41142020497804,99.11937377690802,94.22700587084148,99.90215264187867
2014-08-31,1059.0,705,1004,681,1046.0,982.0,1058.0,94.80642115203021,96.59574468085107,98.7724268177526,92.7289896128423,99.90557129367328
2014-09-30,1032.0,694,982,668,1031.0,959.0,1032.0,95.15503875968992,96.25360230547551,99.90310077519379,92.92635658914729,100.0
2014-10-31,1029.0,854,980,829,1021.0,952.0,1015.0,95.23809523809524,97.07259953161592,99.22254616132167,92.51700680272108,98.63945578231292
2014-11-30,1014.0,845,979,829,998.0,930.0,1010.0,96.5483234714004,98.10650887573965,98.42209072978304,91.71597633136095,99.60552268244577
2014-12-31,1022.0,851,955,827,1011.0,959.0,1020.0,93.44422700587084,97.17978848413631,98.92367906066536,93.83561643835617,99.80430528375734
