,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms_pct,total_coliforms_rec_pct,e_coli_pct,e_coli_rec_pct
2016-01-31,976,532,1.6,6.0,1.7,98.1,99.9,99.9,100.0
2016-02-29,974,529,2.3,7.0,1.6,97.7,99.9,99.8,100.0
2016-03-31,1023,560,2.3,6.0,1.8,94.8,99.5,99.7,100.0
2016-04-30,1050,561,2.4,6.0,1.8,94.1,99.7,99.8,100.0
2016-05-31,1026,550,2.8,8.0,1.7,93.7,99.3,99.3,99.9
2016-06-30,1033,544,1.7,7.0,1.8,94.0,99.9,99.5,100.0
2016-07-31,1040,557,2.2,6.0,1.8,94.9,99.5,99.7,100.0
2016-08-31,1055,578,2.2,7.0,1.7,94.6,99.7,99.5,100.0
2016-09-30,1091,581,2.1,6.0,1.6,96.2,99.8,99.5,99.9
2016-10-31,976,525,1.9,5.0,1.7,91.6,99.0,99.5,100.0
2016-11-30,1050,572,2.5,6.0,1.6,92.4,99.5,99.1,100.0
2016-12-31,988,545,2.4,6.0,1.7,93.7,99.5,99.8,100.0
