,chlorine_bacteriology_turbity_tests,colour_tests,turbity,colour,free_chlorine,total_coliforms,total_coliforms_rec,e_coli,e_coli_rec
1,1054.0,820.0,3.0,8.0,1.8,94.8,99.1,99.3,100.0
2,964.0,598.0,2.7,9.0,1.7,96.8,99.5,99.9,100.0
3,829.0,528.0,3.7,10.0,1.7,95.0,98.8,99.6,100.0
4,353.0,340.0,2.7,8.0,1.6,95.5,98.9,99.4,100.0
5,338.0,329.0,2.5,7.0,1.8,95.3,98.8,98.2,99.4
6,446.0,313.0,2.8,8.0,1.7,93.0,98.9,99.8,
7,380.0,371.0,1.7,4.0,1.8,95.5,99.5,99.2,100.0
8,518.0,506.0,1.5,5.0,1.7,95.2,98.8,99.6,100.0
9,687.0,454.0,1.4,5.0,1.7,90.4,98.4,99.6,100.0
10,1001.0,635.0,0.9,4.0,1.6,95.0,99.4,99.4,100.0
11,1004.0,609.0,1.0,4.0,1.6,94.5,99.3,99.9,100.0
12,1001.0,581.0,1.9,6.0,1.8,95.3,99.4,99.7,100.0
